,value_air,value_socket,value_light
15701,3.9375,0.8515625,0.359375
15702,3.625,0.59765625,0.359375
15703,3.375,0.5625,0.359375
15704,3.5,0.57421875,0.3671875
15705,3.375,0.49609375,0.3515625
15706,3.46875,0.64453125,0.34375
15707,5.21875,1.046875,0.453125
15708,3.6875,1.25,1.09375
15709,8.03125,1.28515625,1.234375
15710,32.3125,3.6171875,4.296875
15711,29.28125,3.57421875,5.515625
15712,49.46875,3.67578125,16.4609375
15713,63.375,3.30078125,8.2578125
15714,56.6875,3.13671875,5.9296875
15715,58.0625,3.03125,6.359375
15716,56.78125,3.26953125,6.4140625
15717,60.15625,3.578125,6.1796875
15718,63.75,3.17578125,5.8984375
15719,34.65625,2.23828125,6.0
15720,12.1875,1.5625,4.1171875
15721,4.5625,1.37109375,2.203125
15722,3.8125,1.0703125,1.5546875
15723,4.125,1.02734375,1.5234375
15724,4.0,1.1015625,1.3359375
15725,3.9375,0.9296875,0.7265625
15726,3.6875,0.5859375,0.484375
15727,3.625,0.6171875,0.4921875
15728,3.625,0.4921875,0.4765625
15729,3.5625,0.52734375,0.5078125
15730,3.4375,0.89453125,0.34375
15731,3.625,1.1953125,0.234375
15732,3.6875,1.2421875,0.7421875
15733,7.09375,1.42578125,1.0859375
15734,44.40625,3.55859375,4.2421875
15735,47.96875,3.11328125,6.1640625
15736,68.8125,3.48828125,15.578125
15737,76.28125,3.3203125,8.671875
15738,30.875,1.66796875,2.2578125
15739,14.8125,0.83203125,1.5
15740,28.21875,1.6640625,3.2734375
15741,26.875,1.8984375,2.8828125
15742,16.1875,0.83203125,2.4140625
15743,8.4375,1.5,3.59375
15744,3.0625,0.86328125,1.3828125
15745,2.125,0.56640625,0.5703125
15746,4.0,1.02734375,1.078125
15747,3.25,0.796875,0.8203125
15748,2.0625,0.4140625,0.1796875
15749,3.875,0.60546875,0.2734375
15750,3.8125,0.5078125,0.28125
15751,3.875,0.546875,0.2578125
15752,3.71875,0.57421875,0.2734375
15753,3.78125,0.75390625,0.3046875
15754,3.75,1.1796875,0.2578125
15755,4.65625,1.3046875,0.7265625
15756,3.125,0.9453125,0.7265625
15757,26.6875,2.11328125,2.421875
15758,54.875,3.68359375,6.0625
15759,59.5625,2.921875,7.984375
15760,40.6875,1.6640625,1.6875
15761,33.1875,1.79296875,2.4375
15762,14.5625,1.02734375,1.4296875
15763,29.34375,1.83984375,3.046875
15764,59.71875,3.76171875,6.015625
15765,53.25,2.53125,4.7890625
15766,22.625,0.72265625,2.0546875
15767,10.71875,1.25,1.9609375
15768,2.5625,0.5546875,0.4140625
15769,2.0,0.54296875,0.359375
15770,3.75,1.0625,0.5859375
15771,3.15625,0.7734375,0.5546875
15772,2.0,0.54296875,0.171875
15773,3.84375,0.53515625,0.3125
15774,3.65625,0.5859375,0.3203125
15775,3.5,0.5546875,0.3046875
15776,3.5625,0.5,0.3125
15777,3.5625,0.765625,0.28125
15778,3.4375,1.171875,0.28125
15779,4.90625,1.34765625,0.65625
15780,2.78125,0.921875,0.609375
15781,24.9375,1.9453125,2.2421875
15782,51.90625,3.96484375,6.578125
15783,51.65625,2.8125,11.640625
15784,37.5,1.6328125,1.6640625
15785,58.21875,2.91796875,5.234375
15786,27.65625,1.3671875,2.765625
15787,28.125,1.78125,3.0
15788,49.71875,3.91796875,5.96875
15789,27.65625,1.81640625,3.390625
15790,11.5,0.9375,3.109375
15791,11.75,1.54296875,3.7265625
15792,3.9375,0.625,1.3125
15793,1.96875,0.5625,0.5625
15794,3.71875,1.0859375,0.9921875
15795,4.03125,1.09375,0.96875
15796,3.9375,0.9140625,0.4453125
15797,3.8125,0.6484375,0.3515625
15798,3.625,0.6171875,0.2265625
15799,3.625,0.5390625,0.2265625
15800,3.625,0.53125,0.2421875
15801,3.625,0.7734375,0.203125
15802,3.625,1.15234375,0.203125
15803,5.125,1.3671875,0.7421875
15804,4.4375,1.421875,1.03125
15805,43.9375,3.55859375,4.0859375
15806,70.03125,3.61328125,7.8046875
15807,72.90625,3.90625,17.515625
15808,61.8125,3.45703125,9.5
15809,69.875,3.234375,5.5078125
15810,43.4375,2.953125,5.625
15811,58.5625,3.31640625,6.46875
15812,46.6875,3.55859375,6.390625
15813,59.0,2.7109375,6.0859375
15814,35.25,1.88671875,5.875
15815,17.3125,1.6953125,4.03125
15816,14.3125,1.44921875,3.0390625
15817,11.5625,1.2109375,2.578125
15818,11.0625,1.3046875,2.078125
15819,6.25,1.09375,1.0
15820,5.1875,0.97265625,0.78125
15821,4.625,0.6484375,0.453125
15822,3.84375,0.53515625,0.234375
15823,3.6875,0.48046875,0.234375
15824,3.78125,0.484375,0.234375
15825,3.84375,0.7421875,0.21875
15826,3.71875,1.12109375,0.171875
15827,3.875,0.9140625,0.171875
15828,3.9375,1.0234375,0.25
15829,4.1875,0.97265625,0.375
15830,7.25,1.00390625,0.734375
15831,21.125,0.9921875,7.6484375
15832,14.1875,0.9921875,10.5546875
15833,21.875,0.96875,1.375
15834,31.875,0.96875,1.3125
15835,25.25,1.01953125,1.5625
15836,12.5,0.8671875,1.7265625
15837,12.0625,0.95703125,1.5546875
15838,5.6875,0.93359375,0.8515625
15839,4.5,0.87890625,0.5703125
15840,4.40625,0.83984375,0.7421875
15841,4.28125,0.92578125,0.4296875
15842,4.125,0.953125,0.25
15843,4.0625,0.859375,0.234375
15844,3.875,0.734375,0.234375
15845,4.0625,0.55078125,0.2265625
15846,3.875,0.4921875,0.2265625
15847,4.0,0.46875,0.25
15848,3.9375,0.55859375,0.234375
15849,3.8125,0.7109375,0.21875
15850,3.84375,1.06640625,0.171875
15851,3.96875,0.94140625,0.1796875
15852,4.0625,0.984375,0.171875
15853,4.21875,0.87109375,0.171875
15854,4.40625,0.90234375,0.578125
15855,4.59375,0.92578125,0.703125
15856,4.71875,0.9296875,0.2421875
15857,4.8125,0.84375,0.203125
15858,5.0625,0.91015625,0.1953125
15859,4.75,0.90625,0.1796875
15860,4.78125,0.8671875,0.171875
15861,4.75,0.828125,0.171875
15862,4.71875,0.9921875,0.171875
15863,4.5,0.84375,0.1953125
15864,4.5625,0.828125,0.2265625
15865,4.1875,0.90625,0.234375
15866,4.375,0.953125,0.25
15867,4.34375,0.84765625,0.234375
15868,0.96875,0.22265625,0.0546875
